"Create an Account", "Criar Conta", module, Magento_Ui
"Sign In", "Entrar", module, Magento_Ui
"or", "ou", module, Magento_Ui
"Default welcome msg!", "Bem Vindo", module, Magento_Ui
"Home Page", "Web Games", module, Magento_Ui
"CMS homepage content goes here.", "Imagens meramente ilustrativas - 2019.", module, Magento_Ui
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.", "Conta incorreta ou sua conta se encontra desativada temporariamente. Aguarde e tente novamente mais tarde.", module, Magento_Customer
"Privacy and Cookie Policy", "Política de Privacidade e Cookies", module, Magento_Customer
"Contact Us", "Dúvidas? Contate - Nos", module, Magento_Customer
"Advanced Search", "Busca Avançada", module, Magento_Customer
"Orders and Returns", "Encomendas e Devoluções", module, Magento_Customer
"Search Terms", "Busca Popular", module, Magento_Customer
"Customer Login", "Login", module, Magento_Customer
"Registered Customers", "ACESSE SUA CONTA", module, Magento_Customer
"If you have an account, sign in with your email address.","Se você já possui uma conta, entre com seu endereço de e-mail.", module, Magento_Customer
"Password", "Senha", module, Magento_Customer
"New Customers", "CADASTRE-SE", module, Magento_Customer
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.", "Ao criar uma conta em nossa loja, você será capaz de fechar pedidos com mais agilidade, cadastrar diversos endereços,
 acompanhar seus pedidos, entre outras vantagens.", module, Magento_Customer
"Forgot Your Password?", "Esqueceu a senha?", module, Magento_Customer
"Create New Customer Account", "Criar nova conta", module, Magento_Customer
"Personal Information", "Informação pessoal", module, Magento_Customer
"First Name", "Primeiro Nome", module, Magento_Customer
"Last Name", "Último nome", module, Magento_Customer
"Sign-in Information", "Informações de login", module, Magento_Customer
"Confirm Password", "Confirmação de Senha", module, Magento_Customer
"Required Fields", "Os campos obrigatórios", module, Magento_Customer
"Sign Up for Newsletter", "Assine a newsletter", module, Magento_Customer
"Password Strength: No Password", "Força da senha: Nenhuma senha", module, Magento_Customer
"Enter your email address", "Insira o seu endereço de email", module, Magento_User
"Search entire store here...", "Digite o que você procura...", module, Magento_User
"Subscribe", "Inscreva-se", module, Module_Customer
"Incorrect CAPTCHA", "CAPTCHA Incorreto", module, Magento_Customer
"Reload captcha", "Recarregar Captcha", module, Magento_Captcha
"Please type the letters and numbers below", "Por favor digite as letras e números abaixo", module, Magento_Customer
"My Account", "Minha Conta", module, Magento_Customer
"Account Information", "Informação da Conta", module, Magento_Customer
"Contact Information", "Informações de contato", module, Magento_Customer
"You aren't subscribed to our newsletter.", "Você não está inscrito na nossa newsletter.", module, Magento_Customer
"Edit", "Editar", module, Magento_Ui
"Change Password", "Mudar Senha", module, Magento_Ui
"Edit Address", "Editar Endereço", module, Magento_Ui
"Default Billing Address", "Endereço de cobrança padrão", module, Magento_Customer
"You have not set a default billing address.", "Você não definiu um endereço de cobrança padrão.", module, Magento_Customer
"Default Shipping Address", "Endereço de entrega padrão", module, Magento_Customer
"You have not set a default shipping address.", "Você não definiu um endereço de entrega padrão.", module, Magento_Customer
"Address Book", "Endereço", module, Magento_Customer
